Disease,Description
Drug Reaction,"Phản ứng có hại của thuốc (ADR) là chấn thương do dùng thuốc. ADR có thể xảy ra sau một liều duy nhất hoặc dùng thuốc kéo dài hoặc kết quả của sự kết hợp của hai hoặc nhiều loại thuốc.
An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs."
Malaria,"Một bệnh truyền nhiễm do ký sinh trùng động vật nguyên sinh thuộc họ Plasmodium gây ra có thể lây truyền qua vết đốt của muỗi Anopheles hoặc qua kim tiêm hoặc truyền máu bị ô nhiễm. Sốt rét Falciparum là loại nguy hiểm nhất.
An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type."
Allergy,"Dị ứng là phản ứng của hệ thống miễn dịch với một chất lạ thường không gây hại cho cơ thể bạn. Chúng có thể bao gồm một số loại thực phẩm, phấn hoa hoặc lông thú cưng. Công việc của hệ thống miễn dịch là giữ cho bạn khỏe mạnh bằng cách chống lại các mầm bệnh có hại.
An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
Hypothyroidism,"Suy giáp, còn được gọi là tuyến giáp hoạt động kém hoặc tuyến giáp thấp, là một rối loạn của hệ thống nội tiết trong đó tuyến giáp không sản xuất đủ hormone tuyến giáp.
Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
Psoriasis,"Bệnh vẩy nến là một rối loạn da phổ biến tạo thành các mảng dày, đỏ, sần sùi được bao phủ bởi vảy bạc. Chúng có thể xuất hiện ở bất cứ đâu, nhưng hầu hết xuất hiện trên da đầu, khuỷu tay, đầu gối và lưng dưới. Bệnh vẩy nến không thể lây truyền từ người này sang người khác. Nó đôi khi xảy ra ở các thành viên trong cùng một gia đình.
Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
GERD,"Bệnh trào ngược dạ dày thực quản, hay GERD, là một rối loạn tiêu hóa ảnh hưởng đến cơ vòng thực quản dưới (LES), vòng cơ giữa thực quản và dạ dày. Nhiều người, bao gồm cả phụ nữ mang thai, bị ợ chua hoặc khó tiêu do GERD gây ra.
Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
Chronic cholestasis,"Các bệnh ứ mật mãn tính, cho dù xảy ra ở trẻ sơ sinh, thời thơ ấu hay tuổi trưởng thành, được đặc trưng bởi sự vận chuyển axit mật bị khiếm khuyết từ gan đến ruột, gây ra bởi tổn thương nguyên phát đối với biểu mô mật trong hầu hết các trường hợp
Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
hepatitis A,"Viêm gan A là một bệnh nhiễm trùng gan rất dễ lây lan do vi rút viêm gan A gây ra. Virus là một trong một số loại virus viêm gan gây viêm và ảnh hưởng đến khả năng hoạt động của gan.
Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function."
Osteoarthristis,"Viêm xương khớp là dạng viêm khớp phổ biến nhất, ảnh hưởng đến hàng triệu người trên toàn thế giới. Nó xảy ra khi sụn bảo vệ đệm các đầu xương của bạn bị mòn theo thời gian.
Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
(vertigo) Paroymsal  Positional Vertigo,"Chóng mặt vị trí kịch phát lành tính (BPPV) là một trong những nguyên nhân phổ biến nhất gây chóng mặt - cảm giác đột ngột rằng bạn đang quay hoặc bên trong đầu bạn đang xoay. Chóng mặt vị trí kịch phát lành tính gây chóng mặt từ nhẹ đến dữ dội trong thời gian ngắn.
Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo â€” the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness."
Hypoglycemia," Hạ đường huyết là tình trạng lượng đường trong máu (glucose) của bạn thấp hơn bình thường. Glucose là nguồn năng lượng chính của cơ thể bạn. Hạ đường huyết thường liên quan đến điều trị bệnh tiểu đường. Nhưng các loại thuốc khác và một loạt các tình trạng hiếm gặp có thể gây ra lượng đường trong máu thấp ở những người không mắc bệnh tiểu đường.
 Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions â€” many rare â€” can cause low blood sugar in people who don't have diabetes."
Acne,"Mụn trứng cá là sự hình thành mụn trứng cá, sẩn, mụn mủ, nốt sần và / hoặc u nang do tắc nghẽn và viêm các đơn vị pilosebaceous (nang lông và tuyến bã nhờn đi kèm của chúng). Mụn trứng cá phát triển trên mặt và thân trên. Nó thường ảnh hưởng đến thanh thiếu niên.
Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
