vi,en
Phản ứng thuốc,Drug Reaction
Bệnh sốt rét,Malaria
Dị ứng,Allergy
Suy giáp,Hypothyroidism
Bệnh vẩy nến,Psoriasis
trào ngược dạ dày thực quản,GERD
ứ mật mãn tính,Chronic cholestasis
viêm gan A,hepatitis A
Thoái hóa khớp,Osteoarthristis
(chóng mặt) Chóng mặt vị trí Paroymsal,(vertigo) Paroymsal  Positional Vertigo
Hạ đường huyết,Hypoglycemia
Mụn,Acne
Tiểu đường,Diabetes
Chốc lở,Impetigo
Tăng huyết áp,Hypertension
Loét dạ dày tá tràng,Peptic ulcer diseae
Búi trĩ lưỡng hình (cọc),Dimorphic hemorrhoids(piles)
Cảm lạnh thông thường,Common Cold
Thủy đậu,Chicken pox
Thoái hóa đốt sống cổ,Cervical spondylosis
Cường giáp,Hyperthyroidism
Nhiễm trùng đường tiết niệu,Urinary tract infection
Giãn tĩnh mạch,Varicose veins
AIDS,AIDS
Tê liệt (xuất huyết não),Paralysis (brain hemorrhage)
Thương hàn,Typhoid
Viêm gan B,Hepatitis B
Nhiễm nấm,Fungal infection
Viêm gan C,Hepatitis C
Đau nửa đầu,Migraine
Hen phế quản,Bronchial Asthma
Viêm gan do rượu,Alcoholic hepatitis
Vàng da,Jaundice
Viêm gan E,Hepatitis E
Sốt xuất huyết,Dengue
Viêm gan D,Hepatitis D
Đau tim,Heart attack
Viêm phổi,Pneumonia
Viêm khớp,Arthritis
Viêm dạ dày ruột,Gastroenteritis
Lao,Tuberculosis
Ngứa,itching
phát ban da,skin_rash
phát ban da hạch,nodal_skin_eruptions
hắt hơi liên tục,continuous_sneezing
run rẩy,shivering
ớn lạnh,chills
đau khớp,joint_pain
đau dạ dày,stomach_pain
chứng ợ nóng,acidity
loét lưỡi,ulcers_on_tongue
loét cơ,muscle_wasting
nôn mửa,vomiting
tiểu buốt,burning_micturition
tiểu rắt,spotting_urination
mệt mỏi,fatigue
tăng cân,weight_gain
lo lắng,anxiety
tay chân lạnh,cold_hands_and_feets
tâm trạng thất thường,mood_swings
sụt cân,weight_loss
bồn chồn,restlessness
lờ đờ,lethargy
vết loang lổ trong cổ họng,patches_in_throat
lượng đường không đều,irregular_sugar_level
ho,cough
sốt cao,high_fever
mắt trũng,sunken_eyes
khó thở,breathlessness
đổ mồ hôi,sweating
mất nước,dehydration
khó tiêu,indigestion
đau đầu,headache
da vàng,yellowish_skin
nước tiểu sẫm màu,dark_urine
buồn nôn,nausea
chán ăn,loss_of_appetite
đau sau mắt,pain_behind_the_eyes
